symbol,date,IV_14,RV_14,Ensemble_Forecast_RV_14,Ensemble_Forecast_RV_14_p10,Ensemble_Forecast_RV_14_p90,Ensemble_Forecast_RV_14_Spread,Ensemble_vs_IV,LSTM_Weight,XGB_Weight,Relative_MAE_LSTM,Relative_MAE_XGB,Ensemble_Scaled_MAE,Ensemble_Normalized_RMSE,Ensemble_IV_Relative_Error,XGB_WFA_Confidence,XGB_Regime_Confidence,Mahalanobis_Drift_Score,Model_Reliability_Score
QQQ,2025-11-28,25.046454328431167,17.5288061864931,21.833469082787733,18.859993866972783,26.245881254877183,7.3858873879044005,3.2129852456434342,0.6246851497068278,0.3753148502931722,10.43394127762523,20.58795639668407,0.2455765013598936,0.2903301010725523,0.17186715691762605,55.80252128604932,48.514378034596895,1.682595742593549,57.176121444301494
SPY,2025-11-28,17.63639977937635,12.627522754297946,11.87479878308227,8.131206099387677,21.988780412547072,13.857574313159395,5.7616009962940815,0.09177548439866255,0.9082245156013374,11.252646337940321,20.740493518448407,0.05960978933571723,0.07096719699510554,0.04268013770564991,87.96611881215468,71.41812693645126,1.5619168597625117,80.00758590102564
IWM,2025-11-28,24.03886584084962,20.98130415586065,15.011917332706727,12.349269876960204,18.021313034411303,5.6720431574511,9.026948508142894,0.5269934472145188,0.4730065527854811,9.659666671202666,21.51456005140619,0.28450980829456735,0.35597240596700314,0.24832231531531115,68.3631913584159,48.088152393175754,1.3175595321020963,64.46347395328937
DIA,2025-11-28,15.907895370818547,11.3561668141067,8.50723201773908,6.296825842452408,11.542868621098947,5.2460427786465385,7.400663353079468,0.15061105821560483,0.8493889417843953,13.3050145188964,19.43035936525377,0.25087116480436483,0.317344946915847,0.17908935971465517,84.92348645422064,59.39326021197289,1.3545925905834721,75.3627480625876
VIXY,2025-11-28,79.77524892050774,58.751390803134875,35.849583316435506,24.251661275937792,48.29885862007894,24.047197344141146,43.92566560407223,0.29159859120093756,0.7084014087990624,30.157423067838607,31.11144522103073,0.38980877173510875,0.4590143798512677,0.2870791103330801,58.026890902771285,64.49435423387814,0.7809376200031373,69.00849805465978
UVXY,2025-11-28,107.08786964712938,89.5954083356405,42.20124728730753,33.379291159415516,57.83501061641326,24.45571945699774,64.88662235982184,0.5562240740275556,0.4437759259724445,10.715898020980678,30.10589658151041,0.5289797985046949,0.6293855072135754,0.4425726387545466,51.958666170276935,67.48901451423008,1.0082720637233762,67.72392518231364
HYG,2025-11-28,2.290451940921299,2.52355976049471,2.934501515615809,2.7083666234986574,4.1278343518248075,1.41946772832615,-0.6440495746945101,0.027692110265768538,0.9723078897342314,31.993606961066085,19.39053219628073,0.1628420937574863,0.12207751338675153,0.17941513977184964,93.79079695746853,69.37843559168991,0.8615828458513449,85.26769301966337
LQD,2025-11-28,5.566444851009686,3.0796160729696487,3.819604816831812,3.077047744531183,5.347158857539204,2.2701111130080216,1.7468400341778736,0.2095097958597272,0.7904902041402727,17.847318353702708,15.767697527583174,0.2402860377165775,0.20344499569797234,0.13293740684917382,91.80378084894379,26.628321442130265,0.9110819216755615,67.37284091642962
TLT,2025-11-28,11.372598624289589,4.566874428183573,7.618196595272396,5.50241162820932,9.863595562823802,4.361183934614482,3.754402029017193,0.3208040866980107,0.6791959133019893,10.450341975215572,16.67663825961754,0.6681423400341783,0.4341553678742506,0.2683047444030787,85.92317471497601,35.61103017105448,1.583949760788515,64.72068354915544
IEF,2025-11-28,6.169759464516131,2.464987363191198,3.510760418090657,3.0565235159882396,4.481882504802643,1.4253589888144034,2.6589990464254742,0.41845195909924604,0.5815480409007538,15.879921436029717,12.961077481888033,0.4242508787329404,0.31381501000956,0.1694998096625919,98.17626780785696,10.343227300981994,1.0431142277905503,63.12036985826525
SMH,2025-11-28,42.01689614907533,30.094832031257152,27.464418587733007,21.39913287163271,33.977264879889574,12.578132008256866,14.552477561342322,0.2033381714096581,0.7966618285903418,10.068223692862247,22.522343603836067,0.08740415765710668,0.09763762483928112,0.06260370671340111,82.27104668284191,65.52272747176534,2.2856761523224423,70.54633531302662
XLK,2025-11-28,27.431524906906212,20.65864482404007,17.196955284803494,14.8584585387774,24.635312142531017,9.776853603753617,10.234569622102718,0.2900734341453347,0.7099265658546653,22.976515751830657,21.880191624043654,0.16756614815354562,0.19102035588994296,0.1261938427041311,61.90738314021941,59.03200932158301,1.816042661534607,62.93547257449026
XLF,2025-11-28,20.90439668122491,12.490831652243264,11.069784987124155,8.169985333775982,16.321949523855125,8.151964190079143,9.834611694100754,0.20553413668039558,0.7944658633196044,35.21433348971721,23.54486678630188,0.11376717777345906,0.12469849393133839,0.06797836296301288,76.85978747318816,43.74787618097731,1.1191358359842933,67.44882655510423
XLY,2025-11-28,21.325239707474786,17.742395200543022,13.587339746065851,9.678491336475673,17.680481677577657,8.001990341101983,7.737899961408935,0.045954510656104036,0.954045489343896,22.31658606654058,18.841262638909235,0.2341879665914556,0.2500322955904296,0.19484214533920424,87.16058402801632,72.13023185500343,1.2401030522728043,82.11563933805587
AAPL,2025-11-28,26.233397719658345,14.14047117476693,15.184249720073737,13.401224169605143,18.026274812634508,4.625050643029365,11.049147999584608,0.7814508505520331,0.21854914944796688,9.78339490546066,26.463169594679815,0.07381497634742086,0.06147479040304975,0.039788156931141176,38.889118280378376,54.27917212202853,1.2844066052266936,55.37127212611814
