symbol,date,IV_14,RV_14,Ensemble_Forecast_RV_14,Ensemble_Forecast_RV_14_p10,Ensemble_Forecast_RV_14_p90,Ensemble_Forecast_RV_14_Spread,Ensemble_vs_IV,LSTM_Weight,XGB_Weight,Relative_MAE_LSTM,Relative_MAE_XGB,Ensemble_Scaled_MAE,Ensemble_Normalized_RMSE,Ensemble_IV_Relative_Error,XGB_WFA_Confidence,XGB_Regime_Confidence,Mahalanobis_Drift_Score,Model_Reliability_Score,Next_Event_Type,Next_Macro_Event_Type,Next_Vol_Event_Type,Next_Event_Date,Next_Event_Importance,Days_To_Next_Event,Next_Event_Window_Live,Next_Macro_Event_Date,Next_Macro_Event_Importance,Days_To_Next_Macro_Event,Macro_Window_Live,Macro_Event_Pressure,Next_Vol_Event_Date,Next_Vol_Event_Importance,Days_To_Next_Vol_Event,Vol_Window_Live,Vol_Event_Pressure
QQQ,2025-11-28,25.046454328431167,17.5288061864931,21.833469082787733,18.859993866972783,26.245881254877183,7.3858873879044,3.2129852456434342,0.6246851497068278,0.3753148502931722,10.43394127762523,20.58795639668407,0.2455765013598936,0.2903301010725523,0.171867156917626,55.80252128604932,48.514378034596895,1.682595742593549,57.17612144430149,NFP,NFP,VIX_EXPIRY,2025-12-05,5.0,7.0,False,2025-12-05,5.0,7.0,False,2.46435245745751,2025-12-17,2.0,19.0,False,0.6535225171435229
SPY,2025-11-28,17.63639977937635,12.627522754297946,11.87479878308227,8.131206099387677,21.988780412547072,13.857574313159397,5.7616009962940815,0.0917754843986625,0.9082245156013374,11.25264633794032,20.740493518448407,0.0596097893357172,0.0709671969951055,0.0426801377056499,87.96611881215468,71.41812693645126,1.5619168597625115,80.00758590102564,NFP,NFP,VIX_EXPIRY,2025-12-05,5.0,7.0,False,2025-12-05,5.0,7.0,False,2.46435245745751,2025-12-17,2.0,19.0,False,0.6535225171435229
IWM,2025-11-28,24.03886584084962,20.98130415586065,15.011917332706728,12.349269876960204,18.021313034411303,5.6720431574511,9.026948508142894,0.5269934472145188,0.4730065527854811,9.659666671202666,21.51456005140619,0.2845098082945673,0.3559724059670031,0.2483223153153111,68.3631913584159,48.08815239317576,1.3175595321020963,64.46347395328937,NFP,NFP,VIX_EXPIRY,2025-12-05,5.0,7.0,False,2025-12-05,5.0,7.0,False,2.46435245745751,2025-12-17,2.0,19.0,False,0.6535225171435229
DIA,2025-11-28,15.907895370818547,11.3561668141067,8.50723201773908,6.296825842452408,11.542868621098949,5.2460427786465385,7.400663353079468,0.1506110582156048,0.8493889417843953,13.3050145188964,19.43035936525377,0.2508711648043648,0.317344946915847,0.1790893597146551,84.92348645422064,59.39326021197289,1.354592590583472,75.3627480625876,NFP,NFP,VIX_EXPIRY,2025-12-05,5.0,7.0,False,2025-12-05,5.0,7.0,False,2.46435245745751,2025-12-17,2.0,19.0,False,0.6535225171435229
VIXY,2025-11-28,79.77524892050774,58.75139080313488,35.849583316435506,24.251661275937792,48.29885862007894,24.047197344141143,43.92566560407223,0.2915985912009375,0.7084014087990624,30.157423067838607,31.11144522103073,0.3898087717351087,0.4590143798512677,0.2870791103330801,58.026890902771285,64.49435423387814,0.7809376200031373,69.00849805465978,NFP,NFP,VIX_EXPIRY,2025-12-05,5.0,7.0,False,2025-12-05,5.0,7.0,False,2.46435245745751,2025-12-17,2.0,19.0,False,0.6535225171435229
UVXY,2025-11-28,107.08786964712938,89.5954083356405,42.20124728730753,33.37929115941552,57.83501061641326,24.45571945699774,64.88662235982184,0.5562240740275556,0.4437759259724445,10.715898020980678,30.10589658151041,0.5289797985046949,0.6293855072135754,0.4425726387545466,51.958666170276935,67.48901451423008,1.0082720637233762,67.72392518231364,NFP,NFP,VIX_EXPIRY,2025-12-05,5.0,7.0,False,2025-12-05,5.0,7.0,False,2.46435245745751,2025-12-17,2.0,19.0,False,0.6535225171435229
HYG,2025-11-28,2.290451940921299,2.52355976049471,2.934501515615809,2.7083666234986574,4.127834351824808,1.41946772832615,-0.6440495746945101,0.0276921102657685,0.9723078897342314,31.993606961066085,19.39053219628073,0.1628420937574863,0.1220775133867515,0.1794151397718496,93.79079695746852,69.37843559168991,0.8615828458513449,85.26769301966337,NFP,NFP,VIX_EXPIRY,2025-12-05,5.0,7.0,False,2025-12-05,5.0,7.0,False,2.46435245745751,2025-12-17,2.0,19.0,False,0.6535225171435229
LQD,2025-11-28,5.566444851009686,3.0796160729696487,3.819604816831812,3.077047744531183,5.347158857539204,2.2701111130080216,1.7468400341778736,0.2095097958597272,0.7904902041402727,17.847318353702708,15.767697527583174,0.2402860377165775,0.2034449956979723,0.1329374068491738,91.8037808489438,26.628321442130265,0.9110819216755616,67.37284091642962,NFP,NFP,VIX_EXPIRY,2025-12-05,5.0,7.0,False,2025-12-05,5.0,7.0,False,2.46435245745751,2025-12-17,2.0,19.0,False,0.6535225171435229
TLT,2025-11-28,11.372598624289587,4.566874428183573,7.618196595272396,5.50241162820932,9.863595562823802,4.361183934614482,3.754402029017193,0.3208040866980107,0.6791959133019893,10.450341975215572,16.67663825961754,0.6681423400341783,0.4341553678742506,0.2683047444030787,85.92317471497601,35.61103017105448,1.583949760788515,64.72068354915544,NFP,NFP,VIX_EXPIRY,2025-12-05,5.0,7.0,False,2025-12-05,5.0,7.0,False,2.46435245745751,2025-12-17,2.0,19.0,False,0.6535225171435229
IEF,2025-11-28,6.169759464516131,2.464987363191198,3.510760418090657,3.05652351598824,4.481882504802643,1.4253589888144034,2.6589990464254742,0.418451959099246,0.5815480409007538,15.879921436029717,12.961077481888031,0.4242508787329404,0.31381501000956,0.1694998096625919,98.17626780785696,10.343227300981994,1.0431142277905503,63.12036985826525,NFP,NFP,VIX_EXPIRY,2025-12-05,5.0,7.0,False,2025-12-05,5.0,7.0,False,2.46435245745751,2025-12-17,2.0,19.0,False,0.6535225171435229
